Date,Open,High,Low,Close
13-Dec-18,10810.75,10838.6,10749.5,10791.55
14-Dec-18,10784.5,10815.75,10752.1,10805.45
17-Dec-18,10853.2,10900.35,10844.85,10888.35
18-Dec-18,10850.9,10915.4,10819.1,10908.7
19-Dec-18,10930.55,10985.15,10928,10967.3
20-Dec-18,10885.2,10962.55,10880.05,10951.7
21-Dec-18,10944.25,10963.65,10738.65,10754
24-Dec-18,10780.9,10782.3,10649.25,10663.5
26-Dec-18,10635.45,10747.5,10534.55,10729.85
27-Dec-18,10817.9,10834.2,10764.45,10779.8
28-Dec-18,10820.95,10893.6,10817.15,10859.9
31-Dec-18,10913.2,10923.55,10853.2,10862.55
01-Jan-19,10881.7,10923.6,10807.1,10910.1
02-Jan-19,10868.85,10895.35,10735.05,10792.5
03-Jan-19,10796.8,10814.05,10661.25,10672.25
04-Jan-19,10699.7,10741.05,10628.65,10727.35
07-Jan-19,10804.85,10835.95,10750.15,10771.8
08-Jan-19,10786.25,10818.45,10733.25,10802.15
09-Jan-19,10862.4,10870.4,10749.4,10855.15
10-Jan-19,10859.35,10859.35,10801.8,10821.6
11-Jan-19,10834.75,10850.15,10739.4,10794.95
14-Jan-19,10807,10808,10692.35,10737.6
15-Jan-19,10777.55,10896.95,10777.55,10886.8
16-Jan-19,10899.65,10928.15,10876.9,10890.3
17-Jan-19,10920.85,10930.65,10844.65,10905.2
18-Jan-19,10914.85,10928.2,10852.2,10906.95
21-Jan-19,10919.35,10987.45,10885.75,10961.85
22-Jan-19,10949.8,10949.8,10864.15,10922.75
23-Jan-19,10931.05,10944.8,10811.95,10831.5
24-Jan-19,10844.05,10866.6,10798.65,10849.8
25-Jan-19,10859.75,10931.7,10756.45,10780.55
28-Jan-19,10792.45,10804.45,10630.95,10661.55
29-Jan-19,10653.7,10690.35,10583.65,10652.2
30-Jan-19,10702.25,10710.2,10612.85,10651.8
31-Jan-19,10690.55,10838.05,10678.55,10830.95
01-Feb-19,10851.35,10983.45,10813.45,10893.65
04-Feb-19,10876.75,10927.9,10814.15,10912.25
05-Feb-19,10908.65,10956.7,10886.7,10934.35
06-Feb-19,10965.1,11072.6,10962.7,11062.45
07-Feb-19,11070.45,11118.1,11043.6,11069.4
08-Feb-19,11023.5,11041.2,10925.45,10943.6
11-Feb-19,10930.9,10930.9,10857.1,10888.8
12-Feb-19,10879.7,10910.9,10823.8,10831.4
13-Feb-19,10870.55,10891.65,10772.1,10793.65
14-Feb-19,10786.1,10792.7,10718.75,10746.05
15-Feb-19,10780.25,10785.75,10620.4,10724.4
18-Feb-19,10738.65,10759.9,10628.4,10640.95
19-Feb-19,10636.7,10722.85,10585.65,10604.35
20-Feb-19,10655.45,10752.7,10646.4,10735.45
21-Feb-19,10744.1,10808.85,10721.5,10789.85
22-Feb-19,10782.7,10801.55,10758.4,10791.65
25-Feb-19,10813.25,10887.1,10788.05,10880.1
26-Feb-19,10775.3,10888.75,10729.3,10835.3
27-Feb-19,10881.2,10939.7,10751.2,10806.65
28-Feb-19,10865.7,10865.7,10784.85,10792.5
01-Mar-19,10842.65,10877.9,10823.1,10863.5
05-Mar-19,10864.85,10994.9,10817,10987.45
06-Mar-19,11024.85,11062.3,10998.85,11053
07-Mar-19,11077.95,11089.05,11027.1,11058.2
08-Mar-19,11038.85,11049,11008.95,11035.4
11-Mar-19,11068.75,11180.9,11059.85,11168.05
12-Mar-19,11231.35,11320.4,11227,11301.2
13-Mar-19,11326.2,11352.3,11276.6,11341.7
14-Mar-19,11382.5,11383.45,11313.75,11343.25
15-Mar-19,11376.85,11487,11370.8,11426.85
18-Mar-19,11473.85,11530.15,11412.5,11462.2
19-Mar-19,11500.3,11543.85,11451.25,11532.4
20-Mar-19,11553.35,11556.1,11503.1,11521.05
22-Mar-19,11549.2,11572.8,11434.55,11456.9
25-Mar-19,11395.65,11395.65,11311.6,11354.25
26-Mar-19,11375.2,11496.75,11352.45,11483.25
27-Mar-19,11531.45,11546.2,11413,11445.05
28-Mar-19,11463.65,11588.5,11452.45,11570
29-Mar-19,11625.45,11630.35,11570.15,11623.9
01-Apr-19,11665.2,11738.1,11644.75,11669.15
02-Apr-19,11711.55,11729.35,11655.85,11713.2
03-Apr-19,11735.3,11761,11629.15,11643.95
04-Apr-19,11660.2,11662.55,11559.2,11598
05-Apr-19,11638.4,11689.65,11609.5,11665.95
08-Apr-19,11704.35,11710.3,11549.1,11604.5
09-Apr-19,11612.05,11683.9,11569.7,11671.95
10-Apr-19,11646.85,11680.05,11571.75,11584.3
11-Apr-19,11592.55,11606.7,11550.55,11596.7
12-Apr-19,11612.85,11657.35,11578.8,11643.45
15-Apr-19,11667,11704.6,11648.25,11690.35
16-Apr-19,11736.2,11810.95,11731.55,11787.15
18-Apr-19,11856.15,11856.15,11738.5,11752.8
22-Apr-19,11727.05,11727.05,11583.95,11594.45
23-Apr-19,11612.95,11645.95,11564.8,11575.95
24-Apr-19,11601.5,11740.85,11578.85,11726.15
25-Apr-19,11735.7,11796.75,11624.3,11641.8
26-Apr-19,11683.75,11762.9,11661.75,11754.65
30-Apr-19,11748.75,11756.25,11655.9,11748.15
02-May-19,11725.55,11789.3,11699.55,11724.75
03-May-19,11722.6,11770.9,11699.35,11712.25
06-May-19,11605.8,11632.55,11571.35,11598.25
07-May-19,11651.5,11657.05,11484.45,11497.9
08-May-19,11478.7,11479.1,11346.95,11359.45
09-May-19,11322.4,11357.6,11255.05,11301.8
10-May-19,11314.15,11345.8,11251.05,11278.9
13-May-19,11258.7,11300.2,11125.6,11148.2
14-May-19,11151.65,11294.75,11108.3,11222.05
15-May-19,11271.7,11286.8,11136.95,11157
16-May-19,11180.35,11281.55,11143.35,11257.1
17-May-19,11261.9,11426.15,11259.85,11407.15
20-May-19,11651.9,11845.2,11591.7,11828.25
21-May-19,11863.65,11883.55,11682.8,11709.1
22-May-19,11727.95,11784.8,11682.4,11737.9
23-May-19,11901.3,12041.15,11614.5,11657.05
24-May-19,11748,11859,11658.1,11844.1
27-May-19,11855.5,11957.15,11812.4,11924.75
28-May-19,11958.35,11958.55,11864.9,11928.75
29-May-19,11905.8,11931.9,11836.8,11861.1
30-May-19,11865.3,11968.55,11859.4,11945.9
31-May-19,11999.8,12039.25,11829.45,11922.8
03-Jun-19,11953.75,12103.05,11920.1,12088.55
04-Jun-19,12052.65,12095.2,12005.85,12021.65
06-Jun-19,12039.8,12039.8,11830.25,11843.75
07-Jun-19,11865.2,11897.5,11769.5,11870.65
10-Jun-19,11934.9,11975.05,11871.75,11922.7
11-Jun-19,11959.85,12000.35,11904.35,11965.6
